[2025-10-12 21:13:48] Epoch: 0, train loss: 89900.6859, val loss: 33079.0182, val mpjpe: 4159.7807
[2025-10-12 21:14:06] Epoch: 1, train loss: 29518.2624, val loss: 27162.1342, val mpjpe: 3506.6433
[2025-10-12 21:14:25] Epoch: 2, train loss: 27337.7047, val loss: 26597.8105, val mpjpe: 3412.2665
[2025-10-12 21:14:43] Epoch: 3, train loss: 26036.6541, val loss: 25268.9594, val mpjpe: 3356.0209
[2025-10-12 21:15:03] Epoch: 4, train loss: 25009.8441, val loss: 24255.3664, val mpjpe: 3150.8441
[2025-10-12 21:15:22] Epoch: 5, train loss: 24399.3446, val loss: 23240.9122, val mpjpe: 3122.5764
[2025-10-12 21:15:42] Epoch: 6, train loss: 23835.4863, val loss: 22816.7660, val mpjpe: 3081.4044
[2025-10-12 21:16:01] Epoch: 7, train loss: 23278.7538, val loss: 22051.8869, val mpjpe: 2958.3623
[2025-10-12 21:16:21] Epoch: 8, train loss: 22445.5953, val loss: 22003.8138, val mpjpe: 2885.1141
[2025-10-12 21:16:40] Epoch: 9, train loss: 22024.1026, val loss: 21496.1477, val mpjpe: 2886.6872
[2025-10-12 21:16:59] Epoch: 10, train loss: 21707.8570, val loss: 21971.0255, val mpjpe: 2948.1776
[2025-10-12 21:17:19] Epoch: 11, train loss: 21569.3870, val loss: 23703.7608, val mpjpe: 3053.2424
[2025-10-12 21:17:39] Epoch: 12, train loss: 21140.5486, val loss: 22218.0467, val mpjpe: 2897.3742
[2025-10-12 21:17:58] Epoch: 13, train loss: 20775.6309, val loss: 20561.4951, val mpjpe: 2868.7383
[2025-10-12 21:18:18] Epoch: 14, train loss: 20960.4944, val loss: 22092.2580, val mpjpe: 3053.6936
[2025-10-12 21:18:37] Epoch: 15, train loss: 19776.2928, val loss: 22847.9210, val mpjpe: 3000.8763
[2025-10-12 21:18:56] Epoch: 16, train loss: 19466.2317, val loss: 21893.2715, val mpjpe: 2919.3787
[2025-10-12 21:19:15] Epoch: 17, train loss: 19064.1111, val loss: 22582.3973, val mpjpe: 2891.9066
[2025-10-12 21:19:35] Epoch: 18, train loss: 18925.8300, val loss: 20121.3314, val mpjpe: 2736.4294
[2025-10-12 21:19:56] Epoch: 19, train loss: 18482.4414, val loss: 20356.9698, val mpjpe: 2740.4441
[2025-10-12 21:20:15] Epoch: 20, train loss: 18395.2730, val loss: 19242.3538, val mpjpe: 2706.0350
[2025-10-12 21:20:35] Epoch: 21, train loss: 17817.9661, val loss: 19037.6048, val mpjpe: 2688.5441
[2025-10-12 21:20:54] Epoch: 22, train loss: 17692.6446, val loss: 19333.8504, val mpjpe: 2681.9735
[2025-10-12 21:21:15] Epoch: 23, train loss: 17327.0944, val loss: 20289.0362, val mpjpe: 2748.0177
[2025-10-12 21:21:36] Epoch: 24, train loss: 17087.0949, val loss: 19357.8710, val mpjpe: 2608.7512
[2025-10-12 21:21:56] Epoch: 25, train loss: 16565.6811, val loss: 19255.7083, val mpjpe: 2648.3889
[2025-10-12 21:22:17] Epoch: 26, train loss: 16899.1691, val loss: 19848.2568, val mpjpe: 2666.5429
[2025-10-12 21:22:37] Epoch: 27, train loss: 16607.6518, val loss: 20370.3757, val mpjpe: 2748.0730
[2025-10-12 21:22:57] Epoch: 28, train loss: 17403.6808, val loss: 19172.7005, val mpjpe: 2631.9804
[2025-10-12 21:23:17] Epoch: 29, train loss: 16119.7062, val loss: 19850.9278, val mpjpe: 2667.2335
[2025-10-12 21:23:41] Epoch: 30, train loss: 15952.0951, val loss: 20209.2601, val mpjpe: 2630.5570
[2025-10-12 21:24:13] Epoch: 31, train loss: 15557.5081, val loss: 21409.8259, val mpjpe: 2758.2240
[2025-10-12 21:24:58] Epoch: 32, train loss: 15454.2184, val loss: 18437.1781, val mpjpe: 2554.9112
[2025-10-12 21:25:44] Epoch: 33, train loss: 14959.5977, val loss: 17351.2621, val mpjpe: 2455.1376
[2025-10-12 21:26:30] Epoch: 34, train loss: 15162.2489, val loss: 19163.4920, val mpjpe: 2562.5302
[2025-10-12 21:27:18] Epoch: 35, train loss: 15076.1948, val loss: 19167.0295, val mpjpe: 2580.8861
[2025-10-12 21:28:05] Epoch: 36, train loss: 14889.0234, val loss: 17603.8074, val mpjpe: 2473.4890
[2025-10-12 21:28:52] Epoch: 37, train loss: 14402.5580, val loss: 18857.4941, val mpjpe: 2524.1273
[2025-10-12 21:29:39] Epoch: 38, train loss: 14843.7026, val loss: 18130.8980, val mpjpe: 2495.2744
[2025-10-12 21:30:24] Epoch: 39, train loss: 14531.9592, val loss: 20862.5747, val mpjpe: 2711.0014
