[2025-10-21 16:56:22] 备注: 使用mamba测试对指定类别的重构效果
[2025-10-21 16:56:22] mask_ratio=0.75, batch_size=512, lr=1e-05, weight_decay=0.0001, epochs=200, loss_func=l1, hidden_dim1=128, hidden_dim2=512, mamba_d_state=64, mamba_d_conv=4, mamba_expand=2, window_size=15, stride=15
[2025-10-21 16:56:34] [20251021165622] Epoch: 0, train loss positive: 4.6756, train loss negative: 9.1494, val acc: 0.8397, negative_0_0.2634778320789337
[2025-10-21 16:56:45] [20251021165622] Epoch: 1, train loss positive: 4.3496, train loss negative: 8.7376, val acc: 0.8397, negative_0_0.2062651515007019
[2025-10-21 16:56:54] [20251021165622] Epoch: 2, train loss positive: 3.9202, train loss negative: 7.9110, val acc: 0.8397, negative_0_0.1506018042564392
[2025-10-21 16:57:04] [20251021165622] Epoch: 3, train loss positive: 3.7692, train loss negative: 7.6386, val acc: 0.8397, negative_0_0.11803236603736877
[2025-10-21 16:57:13] [20251021165622] Epoch: 4, train loss positive: 3.6888, train loss negative: 7.4618, val acc: 0.8397, positive_0_0.12332306057214737
[2025-10-21 16:57:23] [20251021165622] Epoch: 5, train loss positive: 3.6228, train loss negative: 7.3337, val acc: 0.8397, negative_0_0.10102943331003189
[2025-10-21 16:57:32] [20251021165622] Epoch: 6, train loss positive: 3.5722, train loss negative: 7.2517, val acc: 0.8397, negative_0_0.10097139328718185
[2025-10-21 16:57:42] [20251021165622] Epoch: 7, train loss positive: 3.5320, train loss negative: 7.1831, val acc: 0.8397, negative_0_0.09781363606452942
[2025-10-21 16:57:51] [20251021165622] Epoch: 8, train loss positive: 3.4960, train loss negative: 7.1321, val acc: 0.8397, negative_0_0.09400482475757599
[2025-10-21 16:58:01] [20251021165622] Epoch: 9, train loss positive: 3.4658, train loss negative: 7.1564, val acc: 0.8397, negative_0_0.09432554990053177
[2025-10-21 16:58:10] [20251021165622] Epoch: 10, train loss positive: 3.4352, train loss negative: 7.1084, val acc: 0.8397, negative_0_0.09178299456834793
[2025-10-21 16:58:20] [20251021165622] Epoch: 11, train loss positive: 3.4102, train loss negative: 7.2307, val acc: 0.8397, positive_0_0.10688777267932892
[2025-10-21 16:58:29] [20251021165622] Epoch: 12, train loss positive: 3.3731, train loss negative: 7.4889, val acc: 0.8397, negative_0_0.08977475762367249
[2025-10-21 16:58:39] [20251021165622] Epoch: 13, train loss positive: 3.3463, train loss negative: 7.2868, val acc: 0.8397, negative_0_0.08798760175704956
[2025-10-21 16:58:49] [20251021165622] Epoch: 14, train loss positive: 3.3087, train loss negative: 7.4083, val acc: 0.8397, positive_0_0.10823243111371994
[2025-10-21 16:58:58] [20251021165622] Epoch: 15, train loss positive: 3.2765, train loss negative: 7.4473, val acc: 0.8397, positive_0_0.11014679074287415
[2025-10-21 16:59:08] [20251021165622] Epoch: 16, train loss positive: 3.2476, train loss negative: 7.3527, val acc: 0.8397, positive_0_0.11430098116397858
[2025-10-21 16:59:17] [20251021165622] Epoch: 17, train loss positive: 3.2168, train loss negative: 7.3137, val acc: 0.8397, positive_0_0.11168432235717773
[2025-10-21 16:59:26] [20251021165622] Epoch: 18, train loss positive: 3.1865, train loss negative: 7.5674, val acc: 0.8397, negative_0_0.09089868515729904
[2025-10-21 16:59:38] [20251021165622] Epoch: 19, train loss positive: 3.1653, train loss negative: 7.3828, val acc: 0.8397, positive_0_0.11205844581127167
[2025-10-21 16:59:52] [20251021165622] Epoch: 20, train loss positive: 3.1444, train loss negative: 7.5580, val acc: 0.8397, positive_0_0.11208789795637131
[2025-10-21 17:00:08] [20251021165622] Epoch: 21, train loss positive: 3.1199, train loss negative: 7.2172, val acc: 0.8397, negative_0_0.09082526713609695
[2025-10-21 17:00:21] [20251021165622] Epoch: 22, train loss positive: 3.1047, train loss negative: 7.3228, val acc: 0.8397, positive_0_0.10933845490217209
[2025-10-21 17:00:35] [20251021165622] Epoch: 23, train loss positive: 3.0796, train loss negative: 7.2146, val acc: 0.8397, negative_0_0.0922449454665184
[2025-10-21 17:00:48] [20251021165622] Epoch: 24, train loss positive: 3.0736, train loss negative: 6.9284, val acc: 0.8397, negative_0_0.08968948572874069
[2025-10-21 17:01:03] [20251021165622] Epoch: 25, train loss positive: 3.0619, train loss negative: 7.2065, val acc: 0.8397, positive_0_0.10915239155292511
