[2025-10-21 16:59:26] 备注: 使用mamba测试对指定类别的重构效果
[2025-10-21 16:59:26] mask_ratio=0.75, batch_size=512, lr=1e-05, weight_decay=0.0001, epochs=200, loss_func=mse, hidden_dim1=128, hidden_dim2=512, mamba_d_state=64, mamba_d_conv=4, mamba_expand=2, window_size=15, stride=15
[2025-10-21 16:59:44] [20251021165926] Epoch: 0, train loss positive: 312.4854, train loss negative: 2221.7988, val acc: 0.8380, positive_0_0.17486225068569183
[2025-10-21 16:59:58] [20251021165926] Epoch: 1, train loss positive: 268.1970, train loss negative: 2696.0757, val acc: 0.8381, positive_0_0.17268581688404083
[2025-10-21 17:00:12] [20251021165926] Epoch: 2, train loss positive: 247.2749, train loss negative: 865.2756, val acc: 0.8381, positive_0_0.17113853991031647
[2025-10-21 17:00:25] [20251021165926] Epoch: 3, train loss positive: 232.3871, train loss negative: 880.1127, val acc: 0.8381, positive_0_0.16964243352413177
[2025-10-21 17:00:39] [20251021165926] Epoch: 4, train loss positive: 222.3204, train loss negative: 1284.8359, val acc: 0.8381, positive_0_0.16806039214134216
[2025-10-21 17:00:53] [20251021165926] Epoch: 5, train loss positive: 215.7767, train loss negative: 908.6449, val acc: 0.8380, negative_0_0.16346865892410278
[2025-10-21 17:01:07] [20251021165926] Epoch: 6, train loss positive: 211.0050, train loss negative: 1432.7892, val acc: 0.8380, negative_0_0.15916578471660614
[2025-10-21 17:01:21] [20251021165926] Epoch: 7, train loss positive: 203.4640, train loss negative: 25555.2686, val acc: 0.8380, negative_0_0.1556268036365509
[2025-10-21 17:01:35] [20251021165926] Epoch: 8, train loss positive: 201.7742, train loss negative: 5607.9783, val acc: 0.8380, negative_0_0.15264110267162323
[2025-10-21 17:01:49] [20251021165926] Epoch: 9, train loss positive: 196.1396, train loss negative: 9199.7488, val acc: 0.8381, positive_0_0.1460975557565689
[2025-10-21 17:02:04] [20251021165926] Epoch: 10, train loss positive: 194.2165, train loss negative: 158935.0024, val acc: 0.8381, positive_0_0.13759928941726685
[2025-10-21 17:02:20] [20251021165926] Epoch: 11, train loss positive: 191.6247, train loss negative: 25626.5208, val acc: 0.8381, positive_0_0.12517204880714417
[2025-10-21 17:02:37] [20251021165926] Epoch: 12, train loss positive: 188.6875, train loss negative: 83892.2880, val acc: 0.8381, positive_0_0.11939509958028793
[2025-10-21 17:02:56] [20251021165926] Epoch: 13, train loss positive: 186.4939, train loss negative: 65158.9961, val acc: 0.8381, positive_0_0.1108035296201706
[2025-10-21 17:03:16] [20251021165926] Epoch: 14, train loss positive: 184.5017, train loss negative: 54805.3011, val acc: 0.8381, positive_0_0.10399185121059418
[2025-10-21 17:03:36] [20251021165926] Epoch: 15, train loss positive: 181.3388, train loss negative: 215890.9560, val acc: 0.8381, positive_0_0.1003832072019577
[2025-10-21 17:04:00] [20251021165926] Epoch: 16, train loss positive: 181.1384, train loss negative: 116114.2670, val acc: 0.8380, positive_0_0.11303036659955978
[2025-10-21 17:04:27] [20251021165926] Epoch: 17, train loss positive: 179.0897, train loss negative: 22094.7665, val acc: 0.8380, negative_0_0.10185696929693222
[2025-10-21 17:04:53] [20251021165926] Epoch: 18, train loss positive: 177.6084, train loss negative: 21875.5621, val acc: 0.8380, positive_0_0.11525845527648926
[2025-10-21 17:05:17] [20251021165926] Epoch: 19, train loss positive: 175.6824, train loss negative: 20732.0014, val acc: 0.8381, positive_0_0.10053317248821259
[2025-10-21 17:05:42] [20251021165926] Epoch: 20, train loss positive: 173.0816, train loss negative: 17551.5604, val acc: 0.8381, positive_0_0.08348557353019714
[2025-10-21 17:06:06] [20251021165926] Epoch: 21, train loss positive: 172.5879, train loss negative: 21741.3513, val acc: 0.8380, negative_0_0.07667824625968933
[2025-10-21 17:06:27] [20251021165926] Epoch: 22, train loss positive: 169.3992, train loss negative: 17368.3598, val acc: 0.8381, positive_0_0.0729457214474678
[2025-10-21 17:06:51] [20251021165926] Epoch: 23, train loss positive: 168.8216, train loss negative: 39809.6563, val acc: 0.8380, negative_0_0.06845357269048691
[2025-10-21 17:07:17] [20251021165926] Epoch: 24, train loss positive: 166.2876, train loss negative: 39767.7252, val acc: 0.8381, positive_0_0.06858835369348526
[2025-10-21 17:07:42] [20251021165926] Epoch: 25, train loss positive: 164.9210, train loss negative: 39098.9010, val acc: 0.8381, positive_0_0.0721762478351593
[2025-10-21 17:08:07] [20251021165926] Epoch: 26, train loss positive: 165.7676, train loss negative: 64446.2200, val acc: 0.8381, positive_0_0.06720836460590363
[2025-10-21 17:08:33] [20251021165926] Epoch: 27, train loss positive: 164.0337, train loss negative: 215347.3830, val acc: 0.8381, positive_0_0.06812731921672821
[2025-10-21 17:08:55] [20251021165926] Epoch: 28, train loss positive: 162.0996, train loss negative: 30501.3126, val acc: 0.8381, positive_0_0.0716654509305954
[2025-10-21 17:09:20] [20251021165926] Epoch: 29, train loss positive: 161.8919, train loss negative: 39334.0537, val acc: 0.8381, positive_0_0.06175018474459648
[2025-10-21 17:09:43] [20251021165926] Epoch: 30, train loss positive: 162.3788, train loss negative: 41330.9278, val acc: 0.8380, negative_0_0.053688373416662216
[2025-10-21 17:10:05] [20251021165926] Epoch: 31, train loss positive: 160.7301, train loss negative: 50850.3677, val acc: 0.8380, negative_0_0.06290478259325027
[2025-10-21 17:10:15] [20251021165926] Epoch: 32, train loss positive: 160.1951, train loss negative: 41716.7021, val acc: 0.8380, positive_0_0.07370036095380783
[2025-10-21 17:10:36] [20251021165926] Epoch: 33, train loss positive: 159.7251, train loss negative: 368487.0097, val acc: 0.8380, negative_0_0.07257794588804245
[2025-10-21 17:11:05] [20251021165926] Epoch: 34, train loss positive: 158.5082, train loss negative: 29720.9109, val acc: 0.8380, negative_0_0.0724102258682251
[2025-10-21 17:11:33] [20251021165926] Epoch: 35, train loss positive: 157.1807, train loss negative: 25248.8537, val acc: 0.8380, positive_0_0.06833162903785706
[2025-10-21 17:11:55] [20251021165926] Epoch: 36, train loss positive: 157.4284, train loss negative: 15802.8021, val acc: 0.8380, negative_0_0.06324828416109085
[2025-10-21 17:12:10] [20251021165926] Epoch: 37, train loss positive: 156.7373, train loss negative: 16199.7191, val acc: 0.8380, negative_0_0.06727812439203262
[2025-10-21 17:12:30] [20251021165926] Epoch: 38, train loss positive: 156.6638, train loss negative: 35478.2831, val acc: 0.8380, negative_0_0.07250779867172241
[2025-10-21 17:12:53] [20251021165926] Epoch: 39, train loss positive: 155.2212, train loss negative: 15629.7496, val acc: 0.8380, positive_0_0.07333957403898239
[2025-10-21 17:13:12] [20251021165926] Epoch: 40, train loss positive: 157.6815, train loss negative: 14124.2830, val acc: 0.8380, negative_0_0.059150367975234985
[2025-10-21 17:13:32] [20251021165926] Epoch: 41, train loss positive: 155.6617, train loss negative: 17774.9695, val acc: 0.8380, negative_0_0.05899029225111008
[2025-10-21 17:13:53] [20251021165926] Epoch: 42, train loss positive: 153.3640, train loss negative: 12094.2265, val acc: 0.8381, positive_0_0.07250754535198212
[2025-10-21 17:14:09] [20251021165926] Epoch: 43, train loss positive: 154.7282, train loss negative: 99085.9907, val acc: 0.8380, negative_0_0.06475620716810226
[2025-10-21 17:14:28] [20251021165926] Epoch: 44, train loss positive: 154.9813, train loss negative: 16897.4175, val acc: 0.8380, positive_0_0.07141093164682388
[2025-10-21 17:14:49] [20251021165926] Epoch: 45, train loss positive: 154.7447, train loss negative: 22492.7692, val acc: 0.8381, negative_0_0.0686986967921257
[2025-10-21 17:15:12] [20251021165926] Epoch: 46, train loss positive: 153.6064, train loss negative: 16232.5101, val acc: 0.8380, negative_0_0.07487832754850388
[2025-10-21 17:15:31] [20251021165926] Epoch: 47, train loss positive: 153.3073, train loss negative: 11210.5514, val acc: 0.8381, positive_0_0.06939287483692169
[2025-10-21 17:15:53] [20251021165926] Epoch: 48, train loss positive: 152.9937, train loss negative: 31979.7682, val acc: 0.8380, positive_0_0.06786885857582092
