[2025-10-21 20:57:51] 备注: 使用mamba测试对指定类别的重构效果
[2025-10-21 20:57:51] mask_ratio=0.25, batch_size=512, lr=1e-05, weight_decay=0.0001, epochs=200, loss_func=mse, hidden_dim1=128, hidden_dim2=512, mamba_d_state=64, mamba_d_conv=4, mamba_expand=2, window_size=15, stride=15
[2025-10-21 20:58:21] [20251021205751] Epoch 0, train loss pos=293.2460, neg=38464.3445, val_acc=0.2701, margin=0.0500, ema_gap=101046.2109, all_75.7_509.2753516845703_0.9001451847072108_0.27012740994225304
[2025-10-21 20:58:48] [20251021205751] Epoch 1, train loss pos=187.5928, neg=39934.3181, val_acc=0.3190, margin=0.0500, ema_gap=5802.5366, negative_68.10000000000001_196.8333466796875_0.9001451847072108_0.31901371872040085
[2025-10-21 20:59:15] [20251021205751] Epoch 2, train loss pos=110.6814, neg=28298.3001, val_acc=0.3310, margin=0.0500, ema_gap=24393.4961, negative_66.9_108.68196258544926_0.9001451847072108_0.3309908643710471
[2025-10-21 20:59:41] [20251021205751] Epoch 3, train loss pos=83.6768, neg=13642.6397, val_acc=0.3332, margin=0.0500, ema_gap=25631.7832, all_70.4_86.13862805175785_0.9001451847072108_0.3331601943230774
[2025-10-21 21:00:06] [20251021205751] Epoch 4, train loss pos=72.7883, neg=6764.6531, val_acc=0.3344, margin=0.0500, ema_gap=3092.6191, all_70.3_76.99679177856439_0.9004678173899016_0.33441290598551743
[2025-10-21 21:00:32] [20251021205751] Epoch 5, train loss pos=66.7759, neg=5465.7137, val_acc=0.3332, margin=0.0500, ema_gap=6434.5366, all_70.4_75.1667221069336_0.9001451847072108_0.3331601943230774
[2025-10-21 21:01:07] [20251021205751] Epoch 6, train loss pos=63.1112, neg=4180.5463, val_acc=0.3344, margin=0.0500, ema_gap=2737.7095, all_70.3_68.34100300598142_0.9001451847072108_0.33435179809954474
[2025-10-21 21:01:41] [20251021205751] Epoch 7, train loss pos=59.5948, neg=3284.9803, val_acc=0.3320, margin=0.0500, ema_gap=3799.2344, negative_66.8_67.53053613281247_0.9003065010485563_0.3319991444895964
[2025-10-21 21:02:14] [20251021205751] Epoch 8, train loss pos=56.8204, neg=4277.6950, val_acc=0.3320, margin=0.0500, ema_gap=3576.2769, all_70.5_62.27166868209839_0.9004678173899016_0.33202969843258273
[2025-10-21 21:02:50] [20251021205751] Epoch 9, train loss pos=55.0132, neg=9938.6735, val_acc=0.3320, margin=0.0500, ema_gap=14310.3896, negative_66.8_60.13318768310546_0.9003065010485563_0.3319991444895964
[2025-10-21 21:03:23] [20251021205751] Epoch 10, train loss pos=52.5102, neg=15417.7370, val_acc=0.3296, margin=0.0500, ema_gap=10268.8604, all_70.7_58.65264474105843_0.9001451847072108_0.32958538299367535
[2025-10-21 21:03:59] [20251021205751] Epoch 11, train loss pos=51.4147, neg=19399.5644, val_acc=0.3320, margin=0.0500, ema_gap=20021.8672, negative_66.8_55.098387298583965_0.9001451847072108_0.3319991444895964
[2025-10-21 21:04:40] [20251021205751] Epoch 12, train loss pos=49.8762, neg=32107.5252, val_acc=0.3310, margin=0.0500, ema_gap=24800.6641, negative_66.9_54.3696675720215_0.9003065010485563_0.3309908643710471
[2025-10-21 21:05:11] [20251021205751] Epoch 13, train loss pos=49.4930, neg=40422.1495, val_acc=0.3332, margin=0.0500, ema_gap=9171.5596, all_70.4_48.45712567138676_0.9003065010485563_0.33319074826606376
[2025-10-21 21:05:44] [20251021205751] Epoch 14, train loss pos=46.7053, neg=61637.0974, val_acc=0.3310, margin=0.0500, ema_gap=17818.8223, negative_66.9_49.74812100219727_0.9001451847072108_0.3309908643710471
[2025-10-21 21:06:26] [20251021205751] Epoch 15, train loss pos=46.0505, neg=69610.9439, val_acc=0.3296, margin=0.0500, ema_gap=49429.5234, all_70.7_49.281079051971446_0.9001451847072108_0.32958538299367535
[2025-10-21 21:07:06] [20251021205751] Epoch 16, train loss pos=45.1421, neg=132957.4647, val_acc=0.3280, margin=0.0500, ema_gap=100070.9531, negative_67.2_48.19878164672852_0.9001451847072108_0.32799657795838555
[2025-10-21 21:07:45] [20251021205751] Epoch 17, train loss pos=43.7960, neg=173864.2170, val_acc=0.3285, margin=0.0500, ema_gap=69940.4453, all_70.8_48.07219313049316_0.900629133731247_0.328485441046167
[2025-10-21 21:08:21] [20251021205751] Epoch 18, train loss pos=44.5016, neg=170696.8818, val_acc=0.3273, margin=0.0500, ema_gap=238708.1406, all_70.9_46.82216202926637_0.9004678173899016_0.32726328332671334
[2025-10-21 21:08:52] [20251021205751] Epoch 19, train loss pos=43.6936, neg=240981.5894, val_acc=0.3270, margin=0.0500, ema_gap=313603.0312, negative_67.3_46.01873928833007_0.9004678173899016_0.3270188517828226
[2025-10-21 21:09:29] [20251021205751] Epoch 20, train loss pos=42.1663, neg=175141.3780, val_acc=0.3310, margin=0.0500, ema_gap=182923.7812, negative_66.9_44.30124792480469_0.9007904500725924_0.3309908643710471
[2025-10-21 21:10:15] [20251021205751] Epoch 21, train loss pos=41.9095, neg=134578.5031, val_acc=0.3250, margin=0.0500, ema_gap=94795.4453, negative_67.5_44.615378570556665_0.9003065010485563_0.32500229154572396
[2025-10-21 21:11:01] [20251021205751] Epoch 22, train loss pos=40.3749, neg=209836.7143, val_acc=0.3270, margin=0.0500, ema_gap=286748.2188, negative_67.3_44.452752075195306_0.9001451847072108_0.3270188517828226
[2025-10-21 21:11:49] [20251021205751] Epoch 23, train loss pos=40.8753, neg=305101.7399, val_acc=0.3310, margin=0.0500, ema_gap=638008.1875, negative_66.9_39.90367773437506_0.9009517664139377_0.3309908643710471
[2025-10-21 21:12:29] [20251021205751] Epoch 24, train loss pos=40.0524, neg=483720.6156, val_acc=0.3272, margin=0.0500, ema_gap=55498.7031, all_70.9_40.817039073944095_0.9001451847072108_0.32720217544074065
[2025-10-21 21:12:59] [20251021205751] Epoch 25, train loss pos=39.0859, neg=264079.8953, val_acc=0.3296, margin=0.0500, ema_gap=134531.0156, all_70.7_38.21170586013794_0.9001451847072108_0.32958538299367535
[2025-10-21 21:13:40] [20251021205751] Epoch 26, train loss pos=39.5607, neg=500912.6256, val_acc=0.3290, margin=0.0500, ema_gap=1974777.6250, negative_67.10000000000001_39.52522888183595_0.900629133731247_0.3290048580769348
[2025-10-21 21:14:30] [20251021205751] Epoch 27, train loss pos=39.0524, neg=270071.0987, val_acc=0.3272, margin=0.0500, ema_gap=354280.1250, all_70.9_41.10493767547611_0.9003065010485563_0.327232729383727
[2025-10-21 21:15:19] [20251021205751] Epoch 28, train loss pos=37.6610, neg=316278.7997, val_acc=0.3280, margin=0.0500, ema_gap=271736.6875, negative_67.2_37.78386901855469_0.9003065010485563_0.32799657795838555
[2025-10-21 21:16:19] [20251021205751] Epoch 29, train loss pos=38.1794, neg=244349.6456, val_acc=0.3261, margin=0.0500, ema_gap=47323.4414, all_71.0_39.23935523986815_0.9004678173899016_0.32607167955024596
[2025-10-21 21:17:22] [20251021205751] Epoch 30, train loss pos=41.4448, neg=359577.1897, val_acc=0.3272, margin=0.0500, ema_gap=373419.4375, all_70.9_39.42837267303469_0.9001451847072108_0.32720217544074065
[2025-10-21 21:18:13] [20251021205751] Epoch 31, train loss pos=38.5560, neg=539292.9201, val_acc=0.3280, margin=0.0500, ema_gap=301922.0625, negative_67.2_37.90819638061524_0.9004678173899016_0.32799657795838555
[2025-10-21 21:18:52] [20251021205751] Epoch 32, train loss pos=36.4697, neg=252311.9176, val_acc=0.3300, margin=0.0500, ema_gap=87391.0703, negative_67.0_36.447025909423836_0.9003065010485563_0.3300131381954841
[2025-10-21 21:19:21] [20251021205751] Epoch 33, train loss pos=37.5040, neg=308324.2930, val_acc=0.3310, margin=0.0500, ema_gap=412013.3438, negative_66.9_34.6064027709961_0.9001451847072108_0.3309908643710471
[2025-10-21 21:20:06] [20251021205751] Epoch 34, train loss pos=36.0824, neg=291185.8297, val_acc=0.3250, margin=0.0500, ema_gap=86843.9766, negative_67.5_37.23540878295899_0.900629133731247_0.32500229154572396
[2025-10-21 21:21:05] [20251021205751] Epoch 35, train loss pos=36.2895, neg=158303.1810, val_acc=0.3310, margin=0.0500, ema_gap=178504.9531, negative_66.9_34.433014373779294_0.900629133731247_0.3309908643710471
[2025-10-21 21:22:07] [20251021205751] Epoch 36, train loss pos=35.7363, neg=247354.3730, val_acc=0.3251, margin=0.0500, ema_gap=260788.7656, positive_90.10000000000001_35.772135978698785_0.9009517664139377_0.325093953374683
[2025-10-21 21:23:12] [20251021205751] Epoch 37, train loss pos=35.5518, neg=286540.8192, val_acc=0.3260, margin=0.0500, ema_gap=92938.0078, all_71.0_35.252033538818345_0.9003065010485563_0.3260411256072596
