[2025-10-21 21:00:30] 备注: 使用mamba测试对指定类别的重构效果
[2025-10-21 21:00:30] mask_ratio=0.25, batch_size=512, lr=1e-05, weight_decay=0.0001, epochs=200, loss_func=mse, hidden_dim1=128, hidden_dim2=512, mamba_d_state=64, mamba_d_conv=4, mamba_expand=2, window_size=15, stride=15
[2025-10-21 21:01:09] [20251021210030] Epoch 0, train loss pos=301.4091, neg=6893.9914, val_acc=0.2768, margin=0.0500, ema_gap=15060.5518, positive_90.0_545.6747680664063_0.9_0.27683165890713063
[2025-10-21 21:01:43] [20251021210030] Epoch 1, train loss pos=216.7291, neg=16598.7142, val_acc=0.3143, margin=0.0500, ema_gap=1940.1001, positive_90.0_252.96817932128937_0.9_0.31432246998284735
[2025-10-21 21:02:18] [20251021210030] Epoch 2, train loss pos=122.6031, neg=15781.5209, val_acc=0.3280, margin=0.0500, ema_gap=25819.8516, positive_90.0_122.95255126953127_0.9_0.3279527076696888
[2025-10-21 21:02:53] [20251021210030] Epoch 3, train loss pos=93.1626, neg=19519.0923, val_acc=0.3336, margin=0.0500, ema_gap=20086.4375, positive_90.0_90.54790878295901_0.9_0.3336498407253124
[2025-10-21 21:03:28] [20251021210030] Epoch 4, train loss pos=75.8507, neg=8261.5708, val_acc=0.3400, margin=0.0500, ema_gap=5475.1890, positive_90.0_74.62299652099613_0.9_0.3399901984807645
[2025-10-21 21:04:05] [20251021210030] Epoch 5, train loss pos=69.4133, neg=3585.7234, val_acc=0.3404, margin=0.0500, ema_gap=4657.6411, positive_90.0_70.56806869506842_0.9_0.3404496446949277
[2025-10-21 21:04:48] [20251021210030] Epoch 6, train loss pos=64.9129, neg=2554.7823, val_acc=0.3442, margin=0.0500, ema_gap=1840.5924, positive_90.0_62.28091697692876_0.9_0.344186473903455
[2025-10-21 21:05:30] [20251021210030] Epoch 7, train loss pos=60.7522, neg=1574.0049, val_acc=0.3399, margin=0.0500, ema_gap=977.0642, positive_90.0_62.990283203125_0.9_0.339867679490321
[2025-10-21 21:06:07] [20251021210030] Epoch 8, train loss pos=58.4167, neg=1580.6434, val_acc=0.3368, margin=0.0500, ema_gap=1575.2703, positive_90.0_62.16309700012207_0.9_0.33677407498162215
[2025-10-21 21:06:38] [20251021210030] Epoch 9, train loss pos=55.9002, neg=1903.6719, val_acc=0.3425, margin=0.0500, ema_gap=1739.2566, positive_90.0_55.88827819824219_0.9_0.34250183778485666
[2025-10-21 21:07:13] [20251021210030] Epoch 10, train loss pos=53.5644, neg=2222.5656, val_acc=0.3378, margin=0.0500, ema_gap=2569.6521, positive_90.0_59.881509017944346_0.9_0.33781548640039205
[2025-10-21 21:07:52] [20251021210030] Epoch 11, train loss pos=51.2294, neg=3048.6989, val_acc=0.3336, margin=0.0500, ema_gap=3808.4595, positive_90.0_58.17916831970218_0.9_0.33361921097770153
[2025-10-21 21:08:32] [20251021210030] Epoch 12, train loss pos=50.8228, neg=5001.8931, val_acc=0.3362, margin=0.0500, ema_gap=6029.4990, positive_90.0_55.515047073364286_0.9_0.3361921097770154
[2025-10-21 21:09:10] [20251021210030] Epoch 13, train loss pos=48.5421, neg=13331.1324, val_acc=0.3387, margin=0.0500, ema_gap=4432.8413, positive_90.0_51.51662292480476_0.9_0.3386731193334967
[2025-10-21 21:09:45] [20251021210030] Epoch 14, train loss pos=47.9476, neg=29367.1932, val_acc=0.3410, margin=0.0500, ema_gap=23272.0039, positive_90.0_45.895719146728524_0.9_0.34097035040431267
[2025-10-21 21:10:22] [20251021210030] Epoch 15, train loss pos=46.5780, neg=84565.9391, val_acc=0.3385, margin=0.0500, ema_gap=95056.8281, all_70.0_48.8326_0.9000_0.3385
[2025-10-21 21:11:05] [20251021210030] Epoch 16, train loss pos=45.7305, neg=88177.0773, val_acc=0.3367, margin=0.0500, ema_gap=34141.0469, positive_90.0_48.9061016082764_0.9_0.3367128154864004
[2025-10-21 21:11:54] [20251021210030] Epoch 17, train loss pos=44.3058, neg=223079.1495, val_acc=0.3361, margin=0.0500, ema_gap=291745.6875, all_70.2_47.3021_0.9000_0.3361
[2025-10-21 21:12:40] [20251021210030] Epoch 18, train loss pos=44.6413, neg=308013.8793, val_acc=0.3383, margin=0.0500, ema_gap=97313.5938, positive_90.0_44.00252304077149_0.9_0.33830556236216613
[2025-10-21 21:13:29] [20251021210030] Epoch 19, train loss pos=42.7916, neg=231572.3144, val_acc=0.3432, margin=0.0500, ema_gap=73638.8828, positive_90.0_42.199799346923854_0.9_0.343175692232296
[2025-10-21 21:14:17] [20251021210030] Epoch 20, train loss pos=41.9366, neg=251478.5380, val_acc=0.3408, margin=0.0500, ema_gap=286537.8438, positive_90.0_39.85427055358888_0.9_0.3407559421710365
[2025-10-21 21:14:45] [20251021210030] Epoch 21, train loss pos=42.4443, neg=285796.5572, val_acc=0.3402, margin=0.0500, ema_gap=171160.5469, positive_90.0_42.314437866210945_0.9_0.34023523646165155
[2025-10-21 21:15:26] [20251021210030] Epoch 22, train loss pos=41.0243, neg=322234.5367, val_acc=0.3417, margin=0.0500, ema_gap=1535334.5000, positive_90.0_39.97654800415041_0.9_0.3417054643469738
[2025-10-21 21:16:22] [20251021210030] Epoch 23, train loss pos=40.2576, neg=365589.4007, val_acc=0.3386, margin=0.0500, ema_gap=4691640.5000, positive_90.0_40.561299896240236_0.9_0.3386118598382749
[2025-10-21 21:17:27] [20251021210030] Epoch 24, train loss pos=39.8400, neg=188484.5065, val_acc=0.3412, margin=0.0500, ema_gap=125830.7500, positive_90.0_39.58434715271_0.9_0.3412153883851997
[2025-10-21 21:18:21] [20251021210030] Epoch 25, train loss pos=39.1310, neg=509671.0237, val_acc=0.3377, margin=0.0500, ema_gap=1688448.2500, positive_90.0_40.56647377014162_0.9_0.33769296740994853
[2025-10-21 21:19:08] [20251021210030] Epoch 26, train loss pos=38.6337, neg=469924.2440, val_acc=0.3387, margin=0.0500, ema_gap=127035.7109, positive_90.0_38.17466621398926_0.9_0.33873437882871843
