[2025-10-21 21:41:26] 备注: 使用mamba测试对指定类别的重构效果
[2025-10-21 21:41:26] mask_ratio=0.25, batch_size=512, lr=1e-05, weight_decay=0.0001, epochs=200, loss_func=mse, hidden_dim1=128, hidden_dim2=512, mamba_d_state=64, mamba_d_conv=4, mamba_expand=2, window_size=15, stride=15
[2025-10-21 21:41:56] [20251021214126] Epoch: 0, train loss positive: 333.6047, train loss negative: 867.7293, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:42:20] [20251021214126] Epoch: 1, train loss positive: 333.5879, train loss negative: 867.6118, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:42:45] [20251021214126] Epoch: 2, train loss positive: 333.6034, train loss negative: 867.2322, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:43:09] [20251021214126] Epoch: 3, train loss positive: 333.6156, train loss negative: 867.3268, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:43:34] [20251021214126] Epoch: 4, train loss positive: 333.5718, train loss negative: 867.3629, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:43:58] [20251021214126] Epoch: 5, train loss positive: 333.6109, train loss negative: 867.5379, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:44:22] [20251021214126] Epoch: 6, train loss positive: 333.6148, train loss negative: 866.7763, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:44:47] [20251021214126] Epoch: 7, train loss positive: 333.5749, train loss negative: 867.3057, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:45:11] [20251021214126] Epoch: 8, train loss positive: 333.6061, train loss negative: 866.6785, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:45:36] [20251021214126] Epoch: 9, train loss positive: 333.5589, train loss negative: 867.5893, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:46:00] [20251021214126] Epoch: 10, train loss positive: 333.6070, train loss negative: 867.4028, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:46:21] [20251021214126] Epoch: 11, train loss positive: 333.6110, train loss negative: 867.7384, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:46:42] [20251021214126] Epoch: 12, train loss positive: 333.5876, train loss negative: 867.2779, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:47:04] [20251021214126] Epoch: 13, train loss positive: 333.5887, train loss negative: 866.8866, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:47:25] [20251021214126] Epoch: 14, train loss positive: 333.5699, train loss negative: 866.9513, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:47:47] [20251021214126] Epoch: 15, train loss positive: 333.5892, train loss negative: 867.3810, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:48:08] [20251021214126] Epoch: 16, train loss positive: 333.6049, train loss negative: 867.2176, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:48:29] [20251021214126] Epoch: 17, train loss positive: 333.5683, train loss negative: 866.4347, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:48:51] [20251021214126] Epoch: 18, train loss positive: 333.6132, train loss negative: 867.0543, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
