[2025-10-21 22:22:20] 备注: 使用mamba测试对指定类别的重构效果
[2025-10-21 22:22:20] mask_ratio=0.75, batch_size=512, lr=1e-05, weight_decay=0.0001, epochs=200, loss_func=mse, hidden_dim1=128, hidden_dim2=512, mamba_d_state=64, mamba_d_conv=4, mamba_expand=2, window_size=15, stride=15
[2025-10-21 22:22:37] [20251021222220] Epoch: 0, train loss positive: 319.6436, train loss negative: 808.6678, val acc: 1.0000, all_100_115868.3046875_1.0_0.0
[2025-10-21 22:22:51] [20251021222220] Epoch: 1, train loss positive: 286.4555, train loss negative: 715.1136, val acc: 1.0000, all_100_54747.86328125_1.0_0.0
[2025-10-21 22:23:04] [20251021222220] Epoch: 2, train loss positive: 258.0225, train loss negative: 637.1292, val acc: 1.0000, all_100_49900.3515625_1.0_0.0
[2025-10-21 22:23:18] [20251021222220] Epoch: 3, train loss positive: 241.4583, train loss negative: 594.7670, val acc: 1.0000, all_100_49692.2734375_1.0_0.0
[2025-10-21 22:23:33] [20251021222220] Epoch: 4, train loss positive: 232.6965, train loss negative: 571.1886, val acc: 1.0000, all_100_47969.8984375_1.0_0.0
[2025-10-21 22:23:48] [20251021222220] Epoch: 5, train loss positive: 225.2049, train loss negative: 554.3236, val acc: 1.0000, all_100_54521.90625_1.0_0.0
[2025-10-21 22:24:02] [20251021222220] Epoch: 6, train loss positive: 221.9546, train loss negative: 541.4023, val acc: 1.0000, all_100_44855.8984375_1.0_0.0
[2025-10-21 22:24:16] [20251021222220] Epoch: 7, train loss positive: 218.3328, train loss negative: 532.2304, val acc: 1.0000, all_100_42557.7890625_1.0_0.0
[2025-10-21 22:24:30] [20251021222220] Epoch: 8, train loss positive: 216.0041, train loss negative: 529.6288, val acc: 1.0000, all_100_56627.3984375_1.0_0.0
[2025-10-21 22:24:44] [20251021222220] Epoch: 9, train loss positive: 218.2861, train loss negative: 540.8944, val acc: 1.0000, all_100_43425.7421875_1.0_0.0
[2025-10-21 22:24:59] [20251021222220] Epoch: 10, train loss positive: 220.3403, train loss negative: 560.1053, val acc: 1.0000, all_100_139500.75_1.0_0.0
[2025-10-21 22:25:13] [20251021222220] Epoch: 11, train loss positive: 262.5030, train loss negative: 698.9204, val acc: 1.0000, all_100_40137460.0_1.0_0.0
[2025-10-21 22:25:28] [20251021222220] Epoch: 12, train loss positive: 245.1977, train loss negative: 729.8442, val acc: 1.0000, all_100_581737.125_1.0_0.0
[2025-10-21 22:25:42] [20251021222220] Epoch: 13, train loss positive: 239.8928, train loss negative: 731.6841, val acc: 1.0000, all_100_603974.5625_1.0_0.0
[2025-10-21 22:25:55] [20251021222220] Epoch: 14, train loss positive: 235.4242, train loss negative: 624.7551, val acc: 1.0000, all_100_350200.75_1.0_0.0
[2025-10-21 22:26:10] [20251021222220] Epoch: 15, train loss positive: 232.1435, train loss negative: 607.6621, val acc: 1.0000, all_100_91854.171875_1.0_0.0
[2025-10-21 22:26:24] [20251021222220] Epoch: 16, train loss positive: 227.3433, train loss negative: 593.0096, val acc: 1.0000, all_100_2061751.75_1.0_0.0
[2025-10-21 22:26:39] [20251021222220] Epoch: 17, train loss positive: 224.6520, train loss negative: 591.2216, val acc: 1.0000, all_100_204334.84375_1.0_0.0
[2025-10-21 22:26:53] [20251021222220] Epoch: 18, train loss positive: 223.3609, train loss negative: 581.1325, val acc: 1.0000, all_100_89656.5859375_1.0_0.0
[2025-10-21 22:27:08] [20251021222220] Epoch: 19, train loss positive: 220.1959, train loss negative: 571.7645, val acc: 1.0000, all_100_236966.234375_1.0_0.0
[2025-10-21 22:27:21] [20251021222220] Epoch: 20, train loss positive: 219.5412, train loss negative: 560.6069, val acc: 1.0000, all_100_60625.23828125_1.0_0.0
[2025-10-21 22:27:35] [20251021222220] Epoch: 21, train loss positive: 217.2000, train loss negative: 548.0668, val acc: 1.0000, all_100_90910.5546875_1.0_0.0
[2025-10-21 22:27:49] [20251021222220] Epoch: 22, train loss positive: 213.4567, train loss negative: 541.6942, val acc: 1.0000, all_100_91265.8359375_1.0_0.0
[2025-10-21 22:28:03] [20251021222220] Epoch: 23, train loss positive: 212.2235, train loss negative: 534.2241, val acc: 1.0000, all_100_49267.28125_1.0_0.0
[2025-10-21 22:28:18] [20251021222220] Epoch: 24, train loss positive: 209.6900, train loss negative: 527.9350, val acc: 1.0000, all_100_42543.57421875_1.0_0.0
[2025-10-21 22:28:32] [20251021222220] Epoch: 25, train loss positive: 207.7089, train loss negative: 816.7423, val acc: 1.0000, all_100_351367.09375_1.0_0.0
[2025-10-21 22:28:46] [20251021222220] Epoch: 26, train loss positive: 205.2801, train loss negative: 518.9589, val acc: 1.0000, all_100_58004.390625_1.0_0.0
[2025-10-21 22:29:00] [20251021222220] Epoch: 27, train loss positive: 203.3661, train loss negative: 511.8752, val acc: 1.0000, all_100_1409682.0_1.0_0.0
[2025-10-21 22:29:14] [20251021222220] Epoch: 28, train loss positive: 202.4121, train loss negative: 508.7649, val acc: 1.0000, all_100_51977.0234375_1.0_0.0
[2025-10-21 22:29:28] [20251021222220] Epoch: 29, train loss positive: 201.7754, train loss negative: 508.9936, val acc: 1.0000, all_100_69291.078125_1.0_0.0
[2025-10-21 22:29:42] [20251021222220] Epoch: 30, train loss positive: 200.0491, train loss negative: 501.5627, val acc: 1.0000, all_100_48123.12109375_1.0_0.0
[2025-10-21 22:29:56] [20251021222220] Epoch: 31, train loss positive: 197.3129, train loss negative: 499.0091, val acc: 1.0000, all_100_43723.3203125_1.0_0.0
[2025-10-21 22:30:10] [20251021222220] Epoch: 32, train loss positive: 198.5909, train loss negative: 495.4084, val acc: 1.0000, all_100_54153.03125_1.0_0.0
[2025-10-21 22:30:26] [20251021222220] Epoch: 33, train loss positive: 196.0742, train loss negative: 493.6061, val acc: 1.0000, all_100_180932.140625_1.0_0.0
[2025-10-21 22:30:40] [20251021222220] Epoch: 34, train loss positive: 194.2905, train loss negative: 487.8621, val acc: 1.0000, all_100_120443.859375_1.0_0.0
[2025-10-21 22:30:54] [20251021222220] Epoch: 35, train loss positive: 194.2517, train loss negative: 485.7967, val acc: 1.0000, all_100_49031.49609375_1.0_0.0
[2025-10-21 22:31:08] [20251021222220] Epoch: 36, train loss positive: 193.8173, train loss negative: 485.7670, val acc: 1.0000, all_100_60519.6015625_1.0_0.0
[2025-10-21 22:31:23] [20251021222220] Epoch: 37, train loss positive: 192.0945, train loss negative: 478.1508, val acc: 1.0000, all_100_49621.484375_1.0_0.0
[2025-10-21 22:31:37] [20251021222220] Epoch: 38, train loss positive: 190.4104, train loss negative: 476.3376, val acc: 1.0000, all_100_50270.33984375_1.0_0.0
[2025-10-21 22:31:51] [20251021222220] Epoch: 39, train loss positive: 188.1265, train loss negative: 472.9407, val acc: 1.0000, all_100_50460.3359375_1.0_0.0
[2025-10-21 22:32:05] [20251021222220] Epoch: 40, train loss positive: 186.9923, train loss negative: 473.4519, val acc: 1.0000, all_100_324222.46875_1.0_0.0
[2025-10-21 22:32:19] [20251021222220] Epoch: 41, train loss positive: 185.8086, train loss negative: 468.0854, val acc: 1.0000, all_100_49788.18359375_1.0_0.0
[2025-10-21 22:32:33] [20251021222220] Epoch: 42, train loss positive: 184.8969, train loss negative: 464.3463, val acc: 1.0000, all_100_50861.83984375_1.0_0.0
[2025-10-21 22:32:47] [20251021222220] Epoch: 43, train loss positive: 184.7155, train loss negative: 464.0938, val acc: 1.0000, all_100_61148.53125_1.0_0.0
[2025-10-21 22:33:01] [20251021222220] Epoch: 44, train loss positive: 183.5915, train loss negative: 460.7141, val acc: 1.0000, all_100_92182.8671875_1.0_0.0
[2025-10-21 22:33:14] [20251021222220] Epoch: 45, train loss positive: 182.6338, train loss negative: 459.1238, val acc: 1.0000, all_100_156647.15625_1.0_0.0
[2025-10-21 22:33:29] [20251021222220] Epoch: 46, train loss positive: 182.9845, train loss negative: 452.5998, val acc: 1.0000, all_100_43740.953125_1.0_0.0
[2025-10-21 22:33:43] [20251021222220] Epoch: 47, train loss positive: 181.4905, train loss negative: 453.0518, val acc: 1.0000, all_100_45120.6328125_1.0_0.0
[2025-10-21 22:33:57] [20251021222220] Epoch: 48, train loss positive: 180.9837, train loss negative: 449.4541, val acc: 1.0000, all_100_58355.83984375_1.0_0.0
[2025-10-21 22:34:12] [20251021222220] Epoch: 49, train loss positive: 180.9349, train loss negative: 446.9920, val acc: 1.0000, all_100_48189.95703125_1.0_0.0
[2025-10-21 22:34:25] [20251021222220] Epoch: 50, train loss positive: 179.5302, train loss negative: 445.3963, val acc: 1.0000, all_100_45719.58203125_1.0_0.0
[2025-10-21 22:34:39] [20251021222220] Epoch: 51, train loss positive: 178.1655, train loss negative: 447.3227, val acc: 1.0000, all_100_46624.38671875_1.0_0.0
[2025-10-21 22:34:53] [20251021222220] Epoch: 52, train loss positive: 177.3894, train loss negative: 445.7303, val acc: 1.0000, all_100_61653.0859375_1.0_0.0
[2025-10-21 22:35:08] [20251021222220] Epoch: 53, train loss positive: 177.0541, train loss negative: 446.4078, val acc: 1.0000, all_100_41457.9296875_1.0_0.0
[2025-10-21 22:35:22] [20251021222220] Epoch: 54, train loss positive: 176.9956, train loss negative: 446.5806, val acc: 1.0000, all_100_43332.40234375_1.0_0.0
[2025-10-21 22:35:37] [20251021222220] Epoch: 55, train loss positive: 176.9973, train loss negative: 447.8348, val acc: 1.0000, all_100_47229.3671875_1.0_0.0
[2025-10-21 22:35:51] [20251021222220] Epoch: 56, train loss positive: 177.3369, train loss negative: 450.3782, val acc: 1.0000, all_100_46109.109375_1.0_0.0
[2025-10-21 22:36:05] [20251021222220] Epoch: 57, train loss positive: 176.4772, train loss negative: 450.6400, val acc: 1.0000, all_100_44753.23828125_1.0_0.0
[2025-10-21 22:36:19] [20251021222220] Epoch: 58, train loss positive: 177.5657, train loss negative: 463.0585, val acc: 1.0000, all_100_63618.3125_1.0_0.0
[2025-10-21 22:36:33] [20251021222220] Epoch: 59, train loss positive: 178.2360, train loss negative: 467.8767, val acc: 1.0000, all_100_50967.03515625_1.0_0.0
[2025-10-21 22:36:48] [20251021222220] Epoch: 60, train loss positive: 178.5784, train loss negative: 472.6073, val acc: 1.0000, all_100_40676.1796875_1.0_0.0
[2025-10-21 22:37:03] [20251021222220] Epoch: 61, train loss positive: 176.8222, train loss negative: 463.0960, val acc: 1.0000, all_100_47471.140625_1.0_0.0
[2025-10-21 22:37:17] [20251021222220] Epoch: 62, train loss positive: 174.0624, train loss negative: 468.6691, val acc: 1.0000, all_100_47339.7890625_1.0_0.0
[2025-10-21 22:37:32] [20251021222220] Epoch: 63, train loss positive: 176.1813, train loss negative: 456.4520, val acc: 1.0000, all_100_48163.4296875_1.0_0.0
[2025-10-21 22:37:46] [20251021222220] Epoch: 64, train loss positive: 175.0465, train loss negative: 454.0135, val acc: 1.0000, all_100_50899.58984375_1.0_0.0
[2025-10-21 22:38:00] [20251021222220] Epoch: 65, train loss positive: 182.3306, train loss negative: 468.2735, val acc: 1.0000, all_100_38179.15625_1.0_0.0
[2025-10-21 22:38:15] [20251021222220] Epoch: 66, train loss positive: 183.3876, train loss negative: 468.0682, val acc: 1.0000, all_100_87940.03125_1.0_0.0
[2025-10-21 22:38:29] [20251021222220] Epoch: 67, train loss positive: 182.8624, train loss negative: 471.0085, val acc: 1.0000, all_100_42842.4453125_1.0_0.0
[2025-10-21 22:38:43] [20251021222220] Epoch: 68, train loss positive: 199.6540, train loss negative: 517.6088, val acc: 1.0000, all_100_57733.53515625_1.0_0.0
[2025-10-21 22:38:57] [20251021222220] Epoch: 69, train loss positive: 226.9816, train loss negative: 588.3868, val acc: 1.0000, all_100_47167.6015625_1.0_0.0
[2025-10-21 22:39:11] [20251021222220] Epoch: 70, train loss positive: 220.5868, train loss negative: 559.8772, val acc: 1.0000, all_100_46030.33984375_1.0_0.0
[2025-10-21 22:39:26] [20251021222220] Epoch: 71, train loss positive: 214.8391, train loss negative: 538.2932, val acc: 1.0000, all_100_49694.50390625_1.0_0.0
[2025-10-21 22:39:39] [20251021222220] Epoch: 72, train loss positive: 208.8481, train loss negative: 522.2560, val acc: 1.0000, all_100_38305.0859375_1.0_0.0
[2025-10-21 22:39:54] [20251021222220] Epoch: 73, train loss positive: 207.6731, train loss negative: 513.7325, val acc: 1.0000, all_100_47352.03515625_1.0_0.0
[2025-10-21 22:40:08] [20251021222220] Epoch: 74, train loss positive: 204.8941, train loss negative: 508.4214, val acc: 1.0000, all_100_68571.3671875_1.0_0.0
[2025-10-21 22:40:23] [20251021222220] Epoch: 75, train loss positive: 202.8307, train loss negative: 506.4913, val acc: 1.0000, all_100_48304.828125_1.0_0.0
[2025-10-21 22:40:37] [20251021222220] Epoch: 76, train loss positive: 201.3404, train loss negative: 503.3251, val acc: 1.0000, all_100_65733.3671875_1.0_0.0
[2025-10-21 22:40:51] [20251021222220] Epoch: 77, train loss positive: 200.5314, train loss negative: 501.6104, val acc: 1.0000, all_100_46422.953125_1.0_0.0
[2025-10-21 22:41:05] [20251021222220] Epoch: 78, train loss positive: 200.3694, train loss negative: 502.8642, val acc: 1.0000, all_100_163138.71875_1.0_0.0
[2025-10-21 22:41:19] [20251021222220] Epoch: 79, train loss positive: 198.8979, train loss negative: 500.2120, val acc: 1.0000, all_100_44077.41015625_1.0_0.0
[2025-10-21 22:41:32] [20251021222220] Epoch: 80, train loss positive: 198.1883, train loss negative: 501.5464, val acc: 1.0000, all_100_57397.50390625_1.0_0.0
[2025-10-21 22:41:47] [20251021222220] Epoch: 81, train loss positive: 197.5899, train loss negative: 495.0933, val acc: 1.0000, all_100_314899.1875_1.0_0.0
